Order_ID,Order_Date,Customer_ID,Customer_Type,Product,Category,Region,Sales_Channel,Quantity,Unit_Price_NGN,Unit_Cost_NGN,Discount_%,Revenue_NGN,Cost_NGN,Profit_NGN,Profit_Margin_%,Payment_Method
ORD-04691,2025-01-01,CUST-0652,New,Budget Smartphone,Electronics,North Central,Online,1,83000,63100,0.07,77190,63100,14090,18.25,Bank Transfer
ORD-07006,2025-01-01,CUST-0866,Returning,Power Bank,Electronics,South West,Online,1,18000,11300,0.07,16740,11300,5440,32.5,USSD
ORD-01996,2025-01-01,CUST-1442,Returning,Power Bank,Electronics,South South,Social Media,1,17300,11700,0.02,16954,11700,5254,30.99,Bank Transfer
ORD-06984,2025-01-01,CUST-1636,New,Backpack,Fashion,North West,Physical Store,4,35700,22500,0.04,137088,90000,47088,34.35,Card
ORD-01488,2025-01-01,CUST-1645,Returning,Backpack,Fashion,South South,Social Media,2,34700,21800,0.09,63154,43600,19554,30.96,Bank Transfer
ORD-05083,2025-01-01,CUST-1499,New,Rice Cooker,Home Appliances,South South,Social Media,3,52300,34100,0.05,149055,102300,46755,31.37,Cash
ORD-01409,2025-01-01,CUST-0176,New,Rice Cooker,Home Appliances,South West,Social Media,2,52600,34200,0.05,99940,68400,31540,31.56,Cash
ORD-06302,2025-01-01,CUST-1463,Returning,Power Bank,Electronics,South South,Online,1,17900,11200,0.08,16468,11200,5268,31.99,Card
ORD-06906,2025-01-01,CUST-1478,Returning,Budget Smartphone,Electronics,South West,Online,1,83200,64100,0.07,77376,64100,13276,17.16,Card
ORD-01949,2025-01-01,CUST-0818,Returning,Sneakers,Fashion,North Central,Online,1,47800,29900,0.03,46366,29900,16466,35.51,USSD
ORD-02259,2025-01-01,CUST-0659,Returning,Bluetooth Speaker,Electronics,North Central,Online,1,45300,29900,0.12,39864,29900,9964,24.99,USSD
ORD-05760,2025-01-01,CUST-1425,Returning,Air Fryer,Home Appliances,South South,Online,2,78800,53000,0.06,148144,106000,42144,28.45,Cash
ORD-07363,2025-01-01,CUST-0021,Returning,Budget Smartphone,Electronics,South South,Online,2,85300,62000,0.06,160364,124000,36364,22.68,Bank Transfer
ORD-02316,2025-01-01,CUST-1453,Returning,Electric Kettle,Home Appliances,North Central,Physical Store,2,29400,19900,0.03,57036,39800,17236,30.22,Bank Transfer
ORD-06741,2025-01-01,CUST-0136,Returning,Budget Smartphone,Electronics,South South,Online,2,81400,62000,0.11,144892,124000,20892,14.42,Card
ORD-01482,2025-01-01,CUST-0821,Returning,Smart Watch,Wearables,North West,Online,1,65300,40300,0.12,57464,40300,17164,29.87,Cash
ORD-02442,2025-01-01,CUST-0850,Returning,Electric Kettle,Home Appliances,South South,Physical Store,1,31700,19500,0.09,28847,19500,9347,32.4,Card
ORD-05462,2025-01-01,CUST-1423,Returning,Blender,Home Appliances,South West,Physical Store,1,54700,36800,0.12,48136,36800,11336,23.55,Bank Transfer
ORD-03674,2025-01-01,CUST-0779,Returning,Smart Watch,Wearables,South West,Online,1,64700,40300,0.19,52407,40300,12107,23.1,USSD
ORD-07067,2025-01-02,CUST-1207,New,Wireless Earbuds,Electronics,North Central,Online,3,31900,21600,0.12,84216,64800,19416,23.06,USSD
ORD-04627,2025-01-02,CUST-0839,Returning,Sneakers,Fashion,North Central,Social Media,2,48500,29300,0.21,76630,58600,18030,23.53,Cash
ORD-01913,2025-01-02,CUST-1629,Returning,Sneakers,Fashion,South West,Physical Store,1,49300,30900,0.16,41412,30900,10512,25.38,USSD
ORD-02789,2025-01-02,CUST-0875,New,Blender,Home Appliances,South West,Physical Store,1,54200,36100,0.01,53658,36100,17558,32.72,Card
ORD-03191,2025-01-02,CUST-1524,Returning,Power Bank,Electronics,South East,Online,1,18400,11700,0.28,13248,11700,1548,11.68,Card
ORD-07205,2025-01-02,CUST-1617,New,Electric Kettle,Home Appliances,North West,Social Media,4,31700,18900,0.13,110316,75600,34716,31.47,Card
ORD-06358,2025-01-02,CUST-0235,Returning,Backpack,Fashion,North West,Online,1,34200,21700,0.11,30438,21700,8738,28.71,USSD
ORD-00773,2025-01-02,CUST-1000,New,Wireless Earbuds,Electronics,North Central,Online,1,32200,20800,0.1,28980,20800,8180,28.23,USSD
ORD-04598,2025-01-02,CUST-1228,Returning,Air Fryer,Home Appliances,South South,Online,1,81700,53700,0.05,77615,53700,23915,30.81,Card
ORD-07212,2025-01-02,CUST-1404,Returning,Backpack,Fashion,South South,Online,1,35500,22000,0.13,30885,22000,8885,28.77,Card
ORD-03234,2025-01-02,CUST-0858,Returning,Budget Smartphone,Electronics,North Central,Online,2,85600,62100,0.11,152368,124200,28168,18.49,Cash
ORD-03217,2025-01-02,CUST-0473,Returning,Standing Fan,Home Appliances,South West,Online,1,70800,45700,0.1,63720,45700,18020,28.28,Bank Transfer
ORD-00846,2025-01-02,CUST-0508,Returning,Blender,Home Appliances,North West,Online,1,55900,36300,0.14,48074,36300,11774,24.49,USSD
ORD-06521,2025-01-02,CUST-1684,Returning,Budget Smartphone,Electronics,South East,Social Media,1,86100,62500,0.13,74907,62500,12407,16.56,Bank Transfer
ORD-00901,2025-01-02,CUST-0558,New,Hoodie,Fashion,North Central,Online,2,41000,26600,0.08,75440,53200,22240,29.48,Card
ORD-04111,2025-01-02,CUST-0878,Returning,Rice Cooker,Home Appliances,South East,Physical Store,4,52100,34300,0.12,183392,137200,46192,25.19,Card
ORD-06229,2025-01-02,CUST-1617,Returning,Sneakers,Fashion,South South,Physical Store,1,49300,29700,0.05,46835,29700,17135,36.59,Card
ORD-02646,2025-01-02,CUST-0060,New,Air Fryer,Home Appliances,North Central,Physical Store,1,80100,53100,0.09,72891,53100,19791,27.15,Bank Transfer
